UNIQUE_ID,LATITUDE,LONGITUDE,SOUNDING_M,STATE_NAME,QUAD_NAME,GEN_LOC_NM,SPECFC_LOC,AREA_CODE,SAMP_DATE1,TO_SMP_DT2,DPTH_N_COR,DPTH_CODE,COR_GRB_CD,BENZNE,2BZTPN,2BZFRN,BIPHENYL,ACNPHTHN,ACNPHTYL,FLUORENE,PHNANTHR,ANTHRACN,PYRENE,FLORNTHN,CHRYSENE,PERYLENE
US00001,42.3597222222222,-71.0286111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00002,42.3602777777778,-71.0277777777778,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00003,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00004,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00005,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00006,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00007,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00008,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00009,42.385,-71.0461111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,5/1/1981,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00010,42.2922222222222,-71.0394444444444,NA,MA,NA,Northwest Boston Harbor,OOP,2,5/21/1975,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00011,42.2922222222222,-71.0383333333333,NA,MA,NA,Northwest Boston Harbor,OOP,2,5/21/1975,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00012,42.34,-71.0119444444444,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00013,42.3411111111111,-71.0138888888889,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00014,42.3416666666667,-71.0244444444444,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00015-1,42.3419444444444,-71.0286111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,10/17/1972,NA,0,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00015-2,42.3419444444444,-71.0286111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,10/17/1972,NA,0,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
