UNIQUE_ID,LATITUDE,LONGITUDE,SOUNDING_M,STATE_NAME,QUAD_NAME,GEN_LOC_NM,SPECFC_LOC,AREA_CODE,SAMP_DATE1,TO_SMP_DT2,DPTH_N_COR,DPTH_CODE,COR_GRB_CD,site,PCB_52_NGG,PCB101_NGG,PCB118_NGG,PCB128_NGG,PCB138_NGG,PCB153_NGG,PCB180_NGG,PCB206_NGG,PCB209_NGG,DDT_4_4_C,DDT_2_4_C,DDE_4_4_C,DDD_4_4_C,ENDRIN_C,ENDR_ALD_C,ALDRIN_C,DIELDRN_C,CLRDNE_T_C,MIREX_C,METHOXYCLC,BHC_A_C,BHC_B_C,BHC_D_C,LINDANE_C
US00001,42.3597222222222,-71.0286111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00002,42.3602777777778,-71.0277777777778,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00003,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Depth,Core,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00004,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Depth,Core,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00005,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00006,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00007,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00008,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00009,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00010,42.2922222222222,-71.0394444444444,NA,MA,NA,NORTHWEST BOSTON HARBOR,OOP,2,5/21/1975,NA,NA,Unknown,Grab,OOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00011,42.2922222222222,-71.0383333333333,NA,MA,NA,NORTHWEST BOSTON HARBOR,OOP,2,5/21/1975,NA,NA,Unknown,Grab,OOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00012,42.34,-71.0119444444444,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
