UNIQUE_ID,LATITUDE,LONGITUDE,SOUNDING_M,STATE_NAME,QUAD_NAME,GEN_LOC_NM,SPECFC_LOC,AREA_CODE,SAMP_DATE1,TO_SMP_DT2,DPTH_N_COR,DPTH_CODE,COR_GRB_CD,site,SAMPLE_WT,SAMP_UNITS,Q1_MM,Q2_MED_MM,Q3_MM,GRN_SI_PCT,SPECIFIC_G,GRAVEL_PCT,SAND_PCT,SILT_PCT,CLAY_PCT,FINES_SIL,SED_CLASS,CLASSIF_S,MEDIAN,MEAN,STDEV_SORT,SKEWNESS,KURTOSIS
US00001,42.3597222222222,-71.0286111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA
US00002,42.3602777777778,-71.0277777777778,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA
US00003,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Depth,Core,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00004,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Depth,Core,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00005,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00006,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00007,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00008,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00009,42.385,-71.0461111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,5/1/1981,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00010,42.2922222222222,-71.0394444444444,NA,MA,NA,NORTHWEST BOSTON HARBOR,OOP,2,5/21/1975,NA,NA,Unknown,Grab,OOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00011,42.2922222222222,-71.0383333333333,NA,MA,NA,NORTHWEST BOSTON HARBOR,OOP,2,5/21/1975,NA,NA,Unknown,Grab,OOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00012,42.34,-71.0119444444444,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00013,42.3411111111111,-71.0138888888889,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
