Short Field Name,LOCAL_ID,UNIQUE_ID,SRCE_OR_RF,ORGTST_LAB,ORGLB_ID,ORGLB_JOB,AN_TECH_OR,AN_COM_ORG,REPNO_ORG,TOTREP_ORG,TESTDT_ORG,TESTDAY_OR,TESTMO_OR,TESTYR_OR,TVS_EP_PCT,TVS_EPA_Q,TVS_ND_PCT,VS_NED_PCT,VS_NED_Q,O_G_PCT,O_G_UGG,O_AND_G_Q,O_AND_G_DL,PHCTOT_PCT,PHCTOT_UGG,PHC_Q,PHC_DL,PCB_T_UGG,PCB_TOT_Q,PCB_TOT_DL,DDT_T_NGG,DDT_TOT_Q,DDT_TOT_DL,DDE_T_NGG,DDE_TOT_Q,DDE_TOT_DL,DDD_T_NGG,DDD_TOT_Q,DDD_TOT_DL,PEST_UG_G,PEST_TOT_Q,PEST_T_DL,PAHTOT_PCT,PAHTOT_UGG,PAH_Q,PAH_DL,LIPIDS_NGG,OTHERS,CLOST_SP_G,CLOSTR_Q,CLOSTR_DL,MBT_C,MBT_Q,MBT_D,DBT_C,DBT_Q,DBT_D,TBT_C,TBT_Q,TBT_D,TTBT_C,TTBT_Q,TTBT_D
NA,732,US00001,"Metcalf & Eddy, 1984, Original source unknown",NA,09904D,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1.78,%,0.05,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,733,US00002,"Metcalf & Eddy, 1984, Original source unknown",NA,09898D,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1.32,%,0.06,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,734,US00003,"Metcalf & Eddy, 1984, Original source unknown",NA,09902I,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,735,US00004,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,736,US00005,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.74,MG/KG DW,NA,10882,MG/KG DW,NA,NA,NA,NA,NA,0.5,< (MG/KG DW),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,737,US00006,"Metcalf & Eddy, 1984, Original source unknown",LYCO,10273B,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4.88,MG/KG DW,NA,3115,MG/KG DW,NA,NA,NA,NA,NA,0.5,< (MG/KG DW),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,738,US00007,"Metcalf & Eddy, 1984, Original source unknown",LYCO,10272D,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7.31,MG/KG DW,NA,880,MG/KG DW,NA,NA,NA,NA,NA,0.5,< (MG/KG DW),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,739,US00008,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,MG/KG DW,NA,542.3,MG/KG DW,NA,NA,NA,NA,NA,0.5,< (MG/KG DW),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,740,US00009,"Metcalf & Eddy, 1984, Original source unknown",LYCO,10272H,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.09,MG/KG DW,NA,31.44,MG/KG DW,NA,NA,NA,NA,NA,0.5,< (MG/KG DW),0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,741,US00010,"Metcalf & Eddy, 1984, Original source unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
